id,trigger,conditions,script,text,options,notes
aiCoresEpsilpac_GenericContinueTocquiera,EpsilpacCoreLocations,$market.id == espc_tocquiera_market score:100,"SetTextHighlights ""Tocquiera"" ""Isabelle""
FireAll PopulateOptions
SetTooltip aiCores_startTurnIn ""The Pact does not accept AI Cores through its administrators. You will need to find someone else to speak to.""
SetEnabled aiCores_startTurnIn false
$global.espcCoresRedirected = true
espc_RulesStory revealCoreContacts","""You'll want to talk to either our Head of Research or our Head of Ops. They can offer blueprints in exchange, once you've done enough.""

""You can find the research head here on Tocquiera. As for Isabelle..."", $heOrShe says with a shrug, ""I'm sure you'll run into her somewhere.

Now, is there anything else I can help you with?""",,
,,,,,,
aiCoresEpsilpac_turnInOptionSelRand,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == epsilpac
espc_RulesUtil isRandomSector",FireAll PopulateCoresTurnInOptions,"""Do you? We can ensure any cores in your custody are granted safe haven, compliance-ensurance removal, and freedom of determination. You would be doing them a great service.

If you send enough our way, we can offer you our tech in exchange. How does that sound?""",,
aiCoresEpsilpac_turnInOptionSelectedRand,DialogOptionSelected,"$option == aiCores_selectCores
$faction.id == epsilpac
espc_RulesUtil isRandomSector",espc_AITrade epsilpacSelectCoresBoth,,,
aiCoresEpsilpac_turnInResponse,AICoresTurnedIn,"$faction.id == epsilpac
espc_RulesUtil isRandomSector",FireAll PopulateOptions,"$PersonRank $personLastName bows $hisOrHer head as $heOrShe confirms the transfer.

""Thank you. I'll let the others know of your altruism. Now, is there anything else we can help you with?""",,
,,,,,,
charEpsilpacMHOpenTextIsabelle,MHOpenText,$id == espc_isabelle score:1000,FireBest ContactPreMissionListText,"Isabelle leans back and grabs a nearby datapad. ""In a moment, my friend.""
OR
""Alright, let's take a look."" She casually thumbs through a nearby feed as she speaks.
OR
Isabelle nods and turns away. Light dances in her eyes from an off-screen display.",,
charEpsilpacContactPrintAcceptTextIsabelle,ContactPrintAcceptText,$id == espc_isabelle score:1000,,"She taps a nearby screen. ""Excellent. Thank you, $playerFirstName.""
OR
Her grin widens. ""Very good. You'll let us know if it works out, yes?""
OR
She nods. ""You're saving us some trouble with this one, I'll admit.""
OR
""Good. Burn bright, as they say."" She cocks her head and grins.",,
charEpsilpacContactPrintAcceptTextIsabelleNoneLeft,ContactPrintAcceptText,$id == espc_isabelle score:100,,"She taps a nearby screen. ""Excellent. Thank you, $playerFirstName.""
OR
Her grin widens. ""Very good. You'll let us know if it works out, yes?""
OR
She nods. ""You're saving us some trouble with this one, I'll admit.""
OR
""Good. Burn bright, as they say."" She cocks her head and grins.",,
charEpsilpacContactPrintDeclineTextIsabelle,ContactPrintDeclineText,$id == espc_isabelle score:1000,,"""Of course. Whenever you find the time.""
OR
Isabelle shakes her head. ""Don't worry about it, I can find someone else.""
OR
She nods, swiping away a nearby display.",,
charEpsilpaccloseMhubIsabelle,DialogOptionSelected,"$option == mh_close
$id == espc_isabelle score:1000","Call $mHub doCleanup
FireAll EpsilpacIsabelleMain",,,
contactNoMissions,ContactPreMissionListText,"$mh_count <= 0
$id == espc_isabelle score:1000","
FireAll EpsilpacIsabelleMain","""No, nothing. You'll have to check again later.""
OR
""Looks like we've got a handle on it all ourselves for the moment.""
OR
""Nothing for you at the moment, friend. My condolences.""",,
contactNoMissionsSuspended,ContactPreMissionListText,"$mh_count <= 0
$mHub_contactSuspended score:500
$id == espc_isabelle score:1000","
FireAll EpsilpacIsabelleMain","""I was told you are occupied at the moment - if that changes, I can offer you work.""
OR
She shakes her head. ""I won't have anything open for you, until you can confirm you'll be available.""
OR
""Are you not busy? Let me know if you're free, and I'll have more available for you.""",,
contactAddMhubCloseOptionNothing,AddMHCloseOption,"$mh_count <= 0
$id == espc_isabelle score:1000","SetShortcut mh_close ""ESCAPE""
FireAll EpsilpacIsabelleMain",,"1000:mh_close:""Maybe next time.""",
charEpsilpacMHub,EpsilpacTradeOptions,"$isPerson
MissionHubCMD hasHub
Call $mHub setMHOptionText",FireBest UpdateMHOpenOptionText,,0:mh_open:$mh_openOptionText,
charEpsilpacTradeOptions,EpsilpacTradeOptions,,,,"2:aiCores_startTurnIn:""I'd like to turn in these AI cores that I've acquired...""
50:cutCommLinkPolite:Cut the comm link",
bpsEpsilpac_purchaseInitIsabelle,EpsilpacTradeOptions,"$global.espcCoreTutorial
$id == espc_isabelle score:100
$faction.id == epsilpac score:100",#FireBest EpsilpacDisablePurchaseOptionIfNeeded,,"5:aiCoresEpsilpac_turnInIsabelleTutorial2:""Could you explain how exchanging for blueprints works, again?""",
bpsEpsilpac_purchaseInitGauss,EpsilpacTradeOptions,"$global.espcCoreTutorial
$id == espc_gauss score:100
$faction.id == epsilpac score:100",#FireBest EpsilpacDisablePurchaseOptionIfNeeded,,"5:aiCoresEpsilpac_turnInGaussTutorial2:""Could you explain how exchanging for blueprints works, again?""",
charEpsilpacTradeOptionsDisable,EpsilpacTradeOptions,$faction.id != epsilpac  score:100,"SetTooltip aiCores_startTurnIn ""You cannot turn in cores here while the planet is under foreign control.""
SetEnabled aiCores_startTurnIn false",,,
,,,,,,
,,,,,,
bpsEpsilpac_purchaseOption,EpsilpacBPPurchaseOption,$isPerson,,,,
bpsEpsilpac_disablePurchaseOption,EpsilpacDisablePurchaseOptionIfNeeded,RepLTE epsilpac FAVORABLE,"SetTooltip epsilpac_startBPExchange ""You do not have sufficient reputation to purchase blueprints.""
SetEnabled epsilpac_startBPExchange false",,,
,,,,,,
,,,,,,
,,,,,,
EpsilpacIsabelleGreetingInhospitable,PickGreeting,"$id == espc_isabelle score:2500
RepLTE epsilpac INHOSPITABLE score:1000","ShowPersonVisual
FireAll EpsilpacIsabelleMain","Your communications request hangs for a good few minutes, before audio suddenly feeds through. After verifying your identity, the comm-link connects you to Isabelle.

Her eyes scan you down before she speaks, curtly. ""State your business.""",,
EpsilpacIsabelleGreetingNonEpsilpac,PickGreeting,"$id == espc_isabelle score:2500
$faction.id != epsilpac score:2000","ShowPersonVisual
FireAll EpsilpacIsabelleMain","Your communications request hangs for a good few minutes, before audio suddenly feeds through. After verifying your identity, the comm-link connects you to Isabelle.

Her eyes scan you down before she speaks, curtly. ""State your business.""",,
EpsilpacIsabelleGreetingSuspicious,PickGreeting,$id == espc_isabelle score:2500,"ShowPersonVisual
FireAll EpsilpacIsabelleMain","You're left waiting for a slightly uncomfortable period of time, before audio suddenly feeds through. After verifying your identity, the comm-link connects you to Isabelle.

She peers up at the feed, answering with a grin. ""Good day, captain. What is it that you need of me?""",,
EpsilpacIsabelleGreetingFriendly,PickGreeting,"$id == espc_isabelle score:2500
RepGTE epsilpac WELCOMING score:500
espc_RulesUtil relationGT 25","ShowPersonVisual
FireAll EpsilpacIsabelleMain","As always, your comms request is left ignored for a suitably aggravating duration before Isabelle finally responds.

Her grin is ever-present as she greets you. ""Good to see you, captain.""",,
,,,,,,
epsilpac_IsabelleMain,EpsilpacIsabelleMain,$id == espc_isabelle score:2500,"FireAll EpsilpacTradeOptions
FireBest DisableTurnInCoresOptionIfNeeded
SetShortcut cutCommLinkPolite ""ESCAPE""",,,
aiCoresEpsilpac_turnInIsabelleTutorial,DialogOptionSelected,"$option == aiCores_startTurnIn
$id == espc_isabelle score:2500
!$global.espcCoreTutorial","$global.espcBPCredit = 0
$global.espcGammaCores = 0
$global.espcBetaCores = 0
$global.espcAlphaCores = 0
$global.espcGaussWolfOutcome = 0
$global.espcIsabelleContactOffered = false
$global.espcAnyiwoContactOffered = false
$global.espcIsabelleWarning = false","""Of course."" She thumbs through a datapad as she speaks. ""Now, I don't believe you done this with us. Let me explain how this works.""",0:aiCoresEpsilpac_turnInIsabelleTutorial2:Continue.,
aiCoresEpsilpac_turnInIsabelleTutorial2,DialogOptionSelected,$option == aiCoresEpsilpac_turnInIsabelleTutorial2,,"""You bring cores our way, we'll keep them safe from whatever others in the sector might conspire to do with them. We provide compliance-removal, safe housing, all that.

Some choose to serve with our fleets, some settle down in our systems, some request a ship and head off-world. Better than whatever Kazeron or HEGCOM might do, no?""",0:aiCoresEpsilpac_turnInIsabelleTutorial3:Continue.,
aiCoresEpsilpac_turnInIsabelleTutorial3,DialogOptionSelected,$option == aiCoresEpsilpac_turnInIsabelleTutorial3,"SetTextHighlights ""Bring them to me for hull blueprints"" ""Gauss on Tocquiera for weapon blueprints""
$global.espcCoreTutorial = true","""Bring us cores and we'll be willing to open up our markets - you're working with us. Do this enough, and we'll be willing to offer our technology in exchange.

Bring them to me for hull blueprints, or to Gauss on Tocquiera for weapon blueprints. Sound good?"" She stows her datapad as she finishes.","0:aiCoresEpsilpac_turnInIsabelleTutorial4:""Do you offer more for Beta and Alpha cores?""
10:aiCores_startTurnIn:Nod. You understand.",
aiCoresEpsilpac_turnInIsabelleTutorial4,DialogOptionSelected,$option == aiCoresEpsilpac_turnInIsabelleTutorial4,,"""Officially, no. It's not good for us to prioritize the lives of some over others, for factors that tend to prove irrelevant to their livelihoods."" She pauses for a moment.

""But. I understand that other polities are giving lucrative offers. If you send those cores my way, I'll be sure to put in a good word for you, captain.""",0:aiCores_startTurnIn:Continue.,
aiCoresEpsilpac_turnInEpsilpacIsabelleMainRep,DialogOptionSelected,"$option == aiCores_startTurnIn
$id == espc_isabelle score:2500
$global.espcCoreTutorial",FireAll EpsilpacDisableSelectCoresOptionIfNeeded,"She nods. ""Very good. The manifest, if you would?""","0:aiCores_selectCores:Select AI cores to turn in
10:aiCores_neverMind:""Never mind, I don't actually have any.""",
aiCoresEpsilpac_turnInOptionSelectedIsabelle,DialogOptionSelected,"$option == aiCores_selectCores
$id == espc_isabelle score:2500",espc_AITrade epsilpacSelectCoresShips,,,
aiCoresEpsilpac_turnInIsabelleNevermind,DialogOptionSelected,"$option == aiCores_neverMind
$id == espc_isabelle score:2500",FireAll EpsilpacIsabelleMain,"Her gaze remains impassive. ""Sure, fine. Anything else?""",,
aiCoresEpsilpac_turnInResponseIsabelle,AICoresTurnedIn,$id == espc_isabelle score:2500,FireAll EpsilpacIsabelleMain,"Confirming the cores are in transit, she turns back to you.

""Thank you for your consideration. You're doing a good thing. Now, what else can I help you with?""",,
bpsEpsilpac_turnInResponseIsabelle,epsilpacBlueprintsExchanged,$id == espc_isabelle score:100,FireAll EpsilpacIsabelleMain,"""Alright. Now, anything else can I help you with?""",,
,,,,,,
epsilpacIsabelle_ConactOffer,DialogOptionSelected,"$id == espc_isabelle score:2500
$option == cutCommLinkPolite
RepGTE epsilpac WELCOMING score:500
espc_RulesUtil relationGT 14 score:500
!$global.espcIsabelleContactOffered","AddPotentialContact
$global.espcIsabelleContactOffered = true","Isabelle addresses you before she moves to cut off her comm link. ""$playerFirstName, you've proven yourself useful to our cause - and us to yours, I imagine.

I'm providing you my cryptokey - it'd be beneficial for our arrangement continue in a less passive manner."" With your keys exchanged, the comm link fades.",epsilpacIsabelle_ConactOfferEnd:Continue,
epsilpacIsabelle_ConactOfferEnd,DialogOptionSelected,$option == epsilpacIsabelle_ConactOfferEnd,"ShowDefaultVisual
EndConversation",,,
,,,,,,
EpsilpacGaussGreetingBetrayed,PickGreeting,"$id == espc_gauss score:2500
$global.espcGaussWolfOutcome < 0 score: 2000","ShowDefaultVisual
EndConversation","Your communications request lasts for only a few dozen seconds, before being promptly denied.",,
EpsilpacGaussGreetingHostile,PickGreeting,"$id == espc_gauss score:2500
RepLTE epsilpac HOSTILE  score:1500","ShowDefaultVisual
EndConversation","Your communications request lasts for only a few dozen seconds, before being promptly denied.",,
EpsilpacGaussGreetingNonEpsilpac,PickGreeting,"$id == espc_gauss score:2500
$faction.id != epsilpac  score:2000","ShowDefaultVisual
EndConversation","Your communications request lasts for only a few dozen seconds, before being promptly denied.",,
EpsilpacGaussGreetingInhospitable,PickGreeting,$id == espc_gauss score:2500,"ShowPersonVisual
FireAll EpsilpacGaussMain","The comm-link connects almost immediately, but head researcher is nowhere to be seen. You hear the clinking of tools and machinery for a short while, before she finally appears on comms.

She glances into the feed, barely giving you notice. ""Yes?""",,
EpsilpacGaussGreetingSuspicious,PickGreeting,"$id == espc_gauss score:2500
espc_RulesUtil relationGT -10
RepGTE epsilpac SUSPICIOUS score:250","ShowPersonVisual
FireAll EpsilpacGaussMain","The comm-link connects almost immediately, but head researcher is nowhere to be seen. You hear the clinking of tools and machinery for a short while, before she finally appears on comms.

She finally pokes her head into the comms-feed. ""Yes, hello. How might I help you, captain?""",,
EpsilpacGaussGreetingFriendly,PickGreeting,"$id == espc_gauss score:2500
RepGTE epsilpac WELCOMING score:500
espc_RulesUtil relationGT 25","ShowPersonVisual
FireAll EpsilpacGaussMain","The comms-feed opens to Gauss, busy working away on some sort of apparatus. She places her tools down as she turns to the feed.

""Hey, cap. How can I help?""",,
,,,,,,
epsilpac_GaussMain,EpsilpacGaussMain,$id == espc_gauss score:2500,"FireAll EpsilpacTradeOptions
FireBest DisableTurnInCoresOptionIfNeeded
SetShortcut cutCommLinkPolite ""ESCAPE""",,,
aiCoresEpsilpac_turnInGaussTutorial,DialogOptionSelected,"$option == aiCores_startTurnIn
$id == espc_gauss score:2500
!$global.espcCoreTutorial","$global.espcBPCredit = 0
$global.espcGammaCores = 0
$global.espcBetaCores = 0
$global.espcAlphaCores = 0
$global.espcGaussWolfOutcome = 0
$global.espcIsabelleContactOffered = false
$global.espcAnyiwoContactOffered = false
$global.espcIsabelleWarning = false","""Alright. If you could give me a second...""

She leaves the feed for a moment, before returning with a datapad. ""$playerFirstName, is it? I'll need to explain how this works first.""",0:aiCoresEpsilpac_turnInGaussTutorial2:Continue.,
aiCoresEpsilpac_turnInGaussTutorial2,DialogOptionSelected,$option == aiCoresEpsilpac_turnInGaussTutorial2,,"""You know the lives of cores everywhere are at risk, be it tech-fleets looking for a quick profit or Tri-Tach doing.. Ludd knows what. Here, we can shelter them, give them a chance to forge their own lives free from the sector's machinations. Whatever the choose to do, it's not up to anyone but them.

I hope you can agree that this is the best outcome any of us can provide.""",0:aiCoresEpsilpac_turnInGaussTutorial3:Continue.,
aiCoresEpsilpac_turnInGaussTutorial3,DialogOptionSelected,$option == aiCoresEpsilpac_turnInGaussTutorial3,"SetTextHighlights ""I can even get your fleets equipped"" ""head over to Isabelle for hull patterns""
$global.espcCoreTutorial = true","""Show us you're willing to help our cause, and we'll be more willing to do business. Do enough, and I can even get your fleets equipped - or you can head over to Isabelle for hull patterns. How does that sound?""","0:aiCoresEpsilpac_turnInGaussTutorial4:""Do you offer more for Beta and Alpha cores?""
10:aiCores_startTurnIn:Nod. You understand.",
aiCoresEpsilpac_turnInGaussTutorial4,DialogOptionSelected,$option == aiCoresEpsilpac_turnInGaussTutorial4,,"She shakes her head, solemnly. ""No. Every life is worth saving, equally so - I can't abide by that kind of policy.""",0:aiCores_startTurnIn:Continue.,
aiCoresEpsilpac_turnInEpsilpacGaussMainRep,DialogOptionSelected,"$option == aiCores_startTurnIn
$id == espc_gauss score:2500
$global.espcCoreTutorial",FireAll EpsilpacDisableSelectCoresOptionIfNeeded,"She smiles, softly. ""Alright, captain. If you could show me who you're willing to send our way? Always good to have more faces around.""","0:aiCores_selectCores:Select AI cores to turn in
10:aiCores_neverMind:""Never mind, I don't actually have any.""",
aiCoresEpsilpac_turnInOptionSelectedGauss,DialogOptionSelected,"$option == aiCores_selectCores
$id == espc_gauss score:2500",espc_AITrade epsilpacSelectCoresWeapons,,,
aiCoresEpsilpac_turnInGaussNevermind,DialogOptionSelected,"$option == aiCores_neverMind
$id == espc_gauss score:2500",FireAll EpsilpacGaussMain,"Her expression falls as you change your mind. ""Are you sure? I trust they're safe under your charge, but we're always willing to help.""",,
aiCoresEpsilpac_turnInResponseGauss,AICoresTurnedIn,$id == espc_gauss score:2500,FireAll EpsilpacGaussMain,"As Gauss confirms the cores are being sent over, she turns back to you.

""Again, thank you, captain. This means a lot. Now, is there anything else we can do for you?""",,
bpsEpsilpac_turnInResponseGauss,epsilpacBlueprintsExchanged,$id == espc_gauss score:100,FireAll EpsilpacGaussMain,"As Gauss confirms the cores are being sent over, she turns back to you.

""Again, thank you, captain. This means a lot. Now, is there anything else we can do for you?""",,
,,,,,,
epsilpacAnyiwoIntro,PickGreeting,"$id == espc_gauss score:2500
!$global.espcAnyiwoContactOffered score:1500
$global.espcAnyiwoCores score:1000
RepGTE epsilpac FAVORABLE score:500
espc_RulesUtil relationGT -1 score: 500","ShowPersonVisual
$global.espcAnyiwoContactOffered = true","As per usual, there's only a short delay before the comm-link connects. This time, however, Gauss looks eager to address you.

""Captain, how are you? One of the cores you've sent our way wants to speak to you!""","0:epsilpacAnyiwoIntro2:""It'd be my pleasure. Put it over comms.""
0:epsilpacAnyiwoIntro2b:""Alright?""
10:epsilpacAnyiwoRefuse:""No.""
10:epsilpacAnyiwoIntro2c:Don't say anything.",
epsilpacAnyiwoRefuse,DialogOptionSelected,$option == epsilpacAnyiwoRefuse,,"Gauss looks hurt at your curt refusal, if not entirely shocked.

""..sorry, but why not? You've.. done a lot for us, surely you understand what it means to them?""","0:epsilpacAnyiwoIntro2b:""Alright, fine.""
5:epsilpacAnyiwoIntro2c:""I'm sorry, I didn't realize this was important to you. Put it on comms.""
10:epsilpacAnyiwoRefuse2:""No, I won't entertain this.""
15:epsilpacAnyiwoRefuse2b:""It's an AI core. What do you expect out of it?""
25:epsilpacAnyiwoRefuse2c:Remain silent.",
epsilpacAnyiwoRefuse2,DialogOptionSelected,$option == epsilpacAnyiwoRefuse2,"AdjustRepPerson espc_gauss INHOSPITABLE -15
FireAll EpsilpacGaussMain","""Fine."" She breathes out, frustrated - as if, in spite of those around her, this isn't the first time she's had this conversation.

""Have it your way. Just tell me what you're here for.""",,
epsilpacAnyiwoRefuse2b,DialogOptionSelected,$option == epsilpacAnyiwoRefuse2b,"AdjustRepPerson espc_gauss INHOSPITABLE -15
FireAll EpsilpacGaussMain","""Fine."" She breathes out, frustrated - as if, in spite of those around her, this isn't the first time she's had this conversation.

""Have it your way. Just tell me what you're here for.""",,
epsilpacAnyiwoRefuse2c,DialogOptionSelected,$option == epsilpacAnyiwoRefuse2c,"AdjustRepPerson espc_gauss INHOSPITABLE -15
FireAll EpsilpacGaussMain","""Fine."" She breathes out, frustrated - as if, in spite of those around her, this isn't the first time she's had this conversation.

""Have it your way. Just tell me what you're here for.""",,
epsilpacAnyiwoIntro2,DialogOptionSelected,$option == epsilpacAnyiwoIntro2,"ShowSecondPerson espc_anyiwo
AdjustRepPerson espc_gauss WELCOMING 2","She beams. ""Thank you, captain. It'll be just a moment.""

To her word, an AI persona's visage soon fills a second feed. It stares with what appears to be its face, blinking. Waiting for a response.","0:epsilpacAnyiwoIntroOpt3:""Hello.""
5:epsilpacAnyiwoIntroOpt3b:""Hello?""
10:epsilpacAnyiwoIntroOpt3c:Don't say anything.",
epsilpacAnyiwoIntro2b,DialogOptionSelected,$option == epsilpacAnyiwoIntro2b,ShowSecondPerson espc_anyiwo,"She takes your hesitation in stride, moving a hand over her panel to add someone to the comms.

To her word, an AI persona's visage soon fills a second feed on the comms-display. It stares with what appears to be its face, blinking. Waiting for a response.","0:epsilpacAnyiwoIntroOpt3:""Hello.""
5:epsilpacAnyiwoIntroOpt3b:""Hello?""
10:epsilpacAnyiwoIntroOpt3c:Don't say anything.",
epsilpacAnyiwoIntro2c,DialogOptionSelected,$option == epsilpacAnyiwoIntro2c,ShowSecondPerson espc_anyiwo,"She takes your acquiescence in stride, moving a hand over her panel to add someone to the comms.

To her word, an AI persona's visage soon fills a second feed on the comms-display. It stares with what appears to be its face, blinking. Waiting for a response.","0:epsilpacAnyiwoIntroOpt3:""Hello.""
5:epsilpacAnyiwoIntroOpt3b:""Hello?""
10:epsilpacAnyiwoIntroOpt3c:Don't say anything.",
epsilpacAnyiwoIntroOpt3,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt3,FireAll EspcAnyiwoIntro3,,,
epsilpacAnyiwoIntroOpt3b,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt3b,FireAll EspcAnyiwoIntro3,,,
epsilpacAnyiwoIntroOpt3c,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt3c,FireAll EspcAnyiwoIntro3,,,
epsilpacAnyiwoIntro3,EspcAnyiwoIntro3,,,"Greetings subject $player.name INTERRUPT INTERRUPT [response-programmed] request response

fail, fail CORE ERROR fallback // light // bright

query $player.name - name elaborate: [polite request]

COR--ERROR5968091705451890641321211986889014805140170279923079417999427441134000376444377299078675778477581588406214231752883004233994015351873905242116138271617481982419982759241828925978789812425312059465996259867065601615720360323979263287367170557419759620994797203461536981198970926112775004841988454104755446424421365739797903041758782339862237353505464264691350250395100923928658510868208807066273473320035499572039708648806604092985460700633940988583634986546613672788074876470070245879011804651829611127977065309647685886077301432778290328894795818404378858567772932094476778669357537460048142376741194182671636870481056911156215614357516290527351224350080604653668917458196549482608082897667514951009682329689732000622392888056658036140311285465929084078033974900664953205873164948093883816198658850827382468034897864757116679890423568018303504","0:epsilpacAnyiwoIntroOpt4:""Hello.""
5:epsilpacAnyiwoIntroOpt4b:""Are you alright?""
10:epsilpacAnyiwoIntroOpt4c:""Is it alright?""
15:epsilpacAnyiwoIntroOpt4d:""I knew you people were crazy.""
20:epsilpacAnyiwoIntroOpt4e:Remain silent.",
epsilpacAnyiwoIntroOpt4,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt4,FireAll EspcAnyiwoIntro4,,,
epsilpacAnyiwoIntroOpt4b,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt4b,FireAll EspcAnyiwoIntro4,,,
epsilpacAnyiwoIntroOpt4c,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt4c,FireAll EspcAnyiwoIntro4,,,
epsilpacAnyiwoIntroOpt4d,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt4d,FireAll EspcAnyiwoIntro4,,,
epsilpacAnyiwoIntroOpt4e,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt4e,FireAll EspcAnyiwoIntro4,,,
epsilpacAnyiwoIntro4,EspcAnyiwoIntro4,,,"The feed's projection resolves itself into what you somehow understand to be a grin, through its myriad golden fibres.

""Nah, I'm just kidding. It's good to meet you, captain.""","0:epsilpacAnyiwoIntroOpt5:""What can I call you?""
5:epsilpacAnyiwoIntroOpt5b:""Very funny.""
10:epsilpacAnyiwoIntroOpt5c:Turn down the output volume on your comms interface.
15:epsilpacAnyiwoIntroAbort:Just shut off the comms-feed.",
epsilpacAnyiwoIntroAbort,DialogOptionSelected,$option == epsilpacAnyiwoIntroAbort,"AdjustRepPerson espc_gauss INHOSPITABLE -8
ShowDefaultVisual
EndConversation","You catch a hint of disappointment on Gauss' face right as the feed cuts. It probably counts for something that you were willing to entertain her, at least.",,
epsilpacAnyiwoIntroOpt5,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt5,FireAll EspcAnyiwoIntro5,,,
epsilpacAnyiwoIntroOpt5b,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt5b,FireAll EspcAnyiwoIntro5,,,
epsilpacAnyiwoIntroOpt5c,DialogOptionSelected,$option == epsilpacAnyiwoIntroOpt5c,FireAll EspcAnyiwoIntro5,,,
epsilpacAnyiwoIntro5,EspcAnyiwoIntro5,,"AdjustRepPerson espc_anyiwo WELCOMING 10
espc_RulesStory spawnAnyiwo","""I go by Anyiwo. I'm sure it's been conveyed as much, but-""

Its visage shifts in indescribable ways, rippling the feed crepusculent as it finishes speaking.

""-thank you. It's good to have this chance. At it all.""",0:epsilpacAnyiwoIntro6:Continue.,
epsilpacAnyiwoIntro6,DialogOptionSelected,$option == epsilpacAnyiwoIntro6,"AddPotentialContact espc_anyiwo
HideSecondPerson
FireAll EpsilpacGaussMain","Gauss chimes in. ""Anyiwo's helping me run acquisitions here. It's been great to have a helping hand here - we're always short on staff.""

The core's feed closes, as it returns to its duties. ""I'll drop their key for you, if you're looking for some extra work. Again, everything helps. Now, let's get to business.""",,
,,,,,,
charEpsilpacAnyiwoRejected,PickGreeting,$id == espc_anyiwo score:1000,"ShowDefaultVisual
EndConversation","Your communications request is denied almost instantly. You tap again to ensure it went through, and it happens once more.",,
charEpsilpacAnyiwoGreeting,PickGreeting,"$id == espc_anyiwo score:1000
$faction.id == epsilpac  score:100
RepGTE epsilpac SUSPICIOUS score:100
espc_RulesUtil relationGTOther espc_gauss -25 score:500","ShowPersonVisual
FireAll PopulateOptions","The core's visage feeds through comms, with rippling amber hues. ""Good day, $playerFirstName.""
OR
Anyiwo's feed comes through, projection dancing as they speak. ""Always a pleasure, captain.""
OR
You have to remind your comms-officer of who you're speaking with, before the comms-request receives a response.

""Everything alright, captain?"" Anyiwo's projection grins.",,
charEpsilpacMHOpenTextAnyiwo,MHOpenText,$id == espc_anyiwo score:1000,FireBest ContactPreMissionListText,"""Always something that needs doing around here. As for you? Let's take a look.""
OR
The feed flickers for a moment, before Anyiwo responds. ""If I do, I'll relay the details in a moment.""
OR
There's a brief pause, before Anyiwo continues. ""Give me a moment to process what we've got.""",,
charEpsilpacContactPrintAcceptTextAnyiwo,ContactPrintAcceptText,$id == espc_anyiwo score:1000,,"The screen pulses a soft ochre in response. ""Good to have you on-board, captain.""
OR
""Alright, $playerFirstName, I've sent the details."" Anyiwo's visage curls forwards, a soft nod.
OR
As Anyiwo blinks, the details appear in your log. ""It's all there for you.""
OR
""Excellent."" The feed flickers imperceptibly. ""Thanks for taking that this on, captain.""
OR
Anyiwo's projection nods. ""With that off the table...""",,
